project_id;description_th
2088;คอนโดมิเนียม คุณภาพศุภาลัย ความคุ้มค่าเกินราคา ที่คุณเป็นเจ้าของอย่างสบายๆ โดดเด่นด้วยรูปแบบอาคารที่มีการออกแบบทันสมัย โทนสีเย็นตาแบบ Modern Scandinavian แนวคิด Smart Design แยกห้องครัว ห้องน้ำ ติดภายนอก เป็นสัดส่วน ไม่อับชื้น ติดถนนใหญ่ ใกล้สถานีรถไฟฟ้า ใจกลางสี่แยกท่าพระ
2090;บ้านของคนรุ่นใหม่ ทันสมัย ใกล้รถไฟฟ้า
2092;อาคารหรูสไตล์ Modern  3 ชั้น  3 ห้องเอนกประสงค์  3 ห้องน้ำ 
2093;ใช้ชีวิตแตกต่างอย่างมีสไตล์ กับแนวคิดใหม่ ที่ให้คุณผ่อนคลายได้เต็มอิ่มกว่า ด้วยคลับเฮ้าส์หรู สระว่ายน้ำอารมณ์รีสอร์ท ตกแต่งด้วยธารน้ำตกงดงาม ท่ามกลางความร่มรื่น ตอบรับวิถีชีวิตของคนรุ่นใหม่ ที่ใส่ใจสิ่งแวดล้อม
2094;ปรับ ขยับทุกดีไซน์...เติมเสน่ห์ให้ทุกพื้นที่ความสุข พบปรากฏการณ์แบบบ้านซีรีส์ใหม่ ขยายฟังก์ชั่นภายใน... ให้มากกว่ามาตรฐาน เติมดีไซน์ด้วยสวนสวยในสังคมคุณภาพที่สมบูรณ์พร้อมอาณาจักรแห่งการพักผ่อนในบรรยากาศรีสอร์ท ริมทะเลสาบ พร้อมพื้นที่พักผ่อนโดยรอบให้ความเป็นส่วนตัวด้วยสิ่งที่คุณเลือกสรรมาเป็นอย่างดี พร้อมเปิดโซนพิเศษ The Exclusive Zone ทำเลดีที่สุดหน้าโครงการ
2096;เต็มอิ่มอารมณ์ธรรมชาติ ตอบรับความสุขส่วนตัว ชีวิตทันสมัยในโครงการริมถนนราชพฤกษ์ ทำเลที่แสนสะดวกสบายในการเดินทางใกล้รถไฟฟ้าสายสีม่วง พร้อมโดดเด่นด้วยแบบบ้านใหม่พื้นที่ใช้สอยภายในครบครันแฝงกลิ่นอายธรรมชาติ ด้วยวัสดุตกแต่งที่เลือกสรรมาอย่างลงตัว เพิ่มพื้นที่ใช้สอยพร้อมพื้นที่อเนกประสงค์ ปรับเปลี่ยนชีวิตการใช้งานได้ตามความต้องการ ลงตัวทันสมัยมากขึ้น
2097;"""ความสุขของการพักผ่อนที่ใกล้ชิดธรรมชาติ"" บ้านใหม่บนทำเลศักยภาพ ติดถนนใหญ่ ใกล้รถไฟฟ้าที่จะทำให้คุณได้สัมผัสถึงบรรยากาศแห่งการพักผ่อนที่สรรค์สร้างจากต้นไม้ สายลม ธารน้ำและแสงแดด ที่งดงามตั้งแต่แรกเข้าโครงการ ลงตัวกับแบบบ้านที่ทันสมัย ที่เน้นความเป็นส่วนตัวมากที่สุด"
2100;แล้วเวลาอันเหน็ดเหนื่อย ก็ผ่านไปอีกวัน สมควรได้รับ ที่พักกาย พักใจอันแสนสบาย รายล้อมด้วยธรรมชาติและสังคมคุณภาพที่อบอุ่น ไอริส แอเวนิว คำตอบเดียวสำหรับคุณให้มีชีวิตชีวาอีกครั้งและพร้อมสำหรับวันใหม่ที่ท้าทาย
2101;ตอบโจทย์ไลฟ์สไตล์ชีวิตใหม่ บนถนนถ.ราชพฤกษ์ ซอยโยธาธิการ ด้วยฟังก์ชั่นที่มากกว่า 4 ห้องนอน 3 ห้องน้ำ 2 ที่จอดรถ ในสังคมมีระดับ พร้อมคลับเฮ้าส์สไตล์โมเดิร์น ราคาเริ่ม 3.59 ล้านบาท
2103;SYMBOL OF URBAN LIFE สัญลักษณ์...ของวิถีชีวิตคนเมือง ทาวน์โโฮม 3 ชั้น หน้ากว้าง 5 เมตร 3 ห้องนอน 3 ห้องน้ำ พร้อม Family room และที่จอดรถ 2 คัน
2105;คอนโดเมืองที่ใกล้ชิดธรรมชาติ กับห้องนอน One bedroom คอนโดแนวคิดใหม่ ดีไซน์ให้ทุกมุมชีวิตในการอยู่อาศัยลงตัว ผสานความสะดวกสบายด้วยการตกแต่งในสไตล์ modern Simplicity
2107;ทาวน์โฮมอารมณ์บ้านเดี่ยวดีไซน์สไตล์โมเดิร์น ที่เน้นการออกแบบเพื่อการอยู่อาศัย ประสานฟังก์ชั่นที่จำเป็นต่อการใช้ชีวิตคนเมือง ห้องนอนขนาดใหญ่ ห้องครัวที่กั้นเป็นสัดส่วนอย่างลงตัว และให้ทุกวันได้ผ่อนคลายกับบรรยากาศความร่มรื่นของโครงการ ด้วยความโปร่ง โล่ง ระบายอากาศได้ดี ทุกห้องเปิดรับแสงสว่าง
2108;บ้านเดี่ยวสไตล์โมเดิร์นออกแบบเพื่อเพิ่มพื้นที่ใช้สอยสูงสุด ด้วยการจัดพื้นที่ภายในบ้านอย่างเป็นสัดส่วน และลงตัวทุกพื้นที่การใช้งาน พร้อมทั้งมุมมองที่เปิดกว้างด้วยหน้าต่างและกระจกบานใหญ่ ให้คุณและครอบครัวได้สัมผัสกับความงดงามของธรรมชาติได้อย่างใกล้ชิด
2110; TOURMALINE GOLD สาทร-ตากสิน ชีวิตเมือง…ที่ลงตัว ลงตัวด้วยความเป็นส่วนตัว ด้วยความสูง 8 ชั้น เพียง 72 ยูนิต ลงตัวด้วยดีไซน์ที่ใส่ใจรายละเอียด ห้องขนาดใหญ่ จัดแบ่งพื้นที่ใช้สอยเป็นสัดส่วน โปร่ง โล่ง สบาย ครบฟังก์ชันการใช้งาน BALANCE FOR YOUR LIFE  เพียง 200 เมตร ถึง BTS กรุงธนบุรี
2115;บ้านเดี่ยวหลังใหญ่...เน้นความคุ้มค่าและความสมบูรณ์ บ้านเดี่ยวหลังใหญ่ ฟังก์ชั่นใช้สอยครบครัน บนพื้นที่กว้าง ๆ เดินทางสะดวกสบายได้หลายเส้นทาง โครงการตั้งอยู่บนพื้นที่ขนาด 74-0-22.70 ไร่ พร้อมสาธารณูปโภคครบครัน ทั้งสวนสาธารณะ สระว่ายน้ำ ภายในโครงการ ให้คุณและครอบครัวใช้ชีวิตอบอุ่น เต็มความสุข
2119;ความสุขที่ให้...ใกล้กว่าที่คิด อีกระดับของความกว้างสบายเกินใคร
2120;บ้านเดี่ยวและบ้านแฝดคุณภาพที่เติมความสมบูรณ์อย่างมีระดับ บ้านที่ถูกออกแบบในสไตล์ HIP MODERN ดีไซน์นำสมัยมีเอกลักษณ์เฉพาะตัว เน้นความโปร่ง โล่ง สบาย ดึงธรรมชาติให้มาใกล้ชิดคุณและคนรักอย่างอบอุ่นปลอดภัย
2122;The Maple คอนโดมีเนียมสูง 12 ชั้น ทำเลใจกลางกรุงเทพฯ บนเนื้อที่กว่า 1 ไร่ ทำเลทองใจกลางย่านธุรกิจ (CBD) พรั่งพร้อมด้วยระบบสาธารณูปโภคและระบบขนส่งมวลชน ทั้งรถไฟฟ้า BTS และ BRT ในราคาเริ่มต้นเพียง 3 ล้านเศษ พร้อมด้วยสิ่งอำนวยความสะดวก เช่น สระว่ายน้ำระบบเกลือซึ่งไม่เป็นอันตรายต่อสุขภาพ ห้องฟิตเนส ห้องซาวน่า แยกชาย-หญิง และสวนสวยบนอาคาร เพื่อรูปแบบการใช้ชีวิตเมืองที่สมบูรณ์แบบและดีที่สุด
2124;
2128;สร้างสร็จพร้อมอยู่...ทาวน์โฮม 3 ชั้น All Complete Design Modern Contemporary Style บนเนื้อที่ 32-44 ตร.ว. 3 นอน 4 น้ำ (จอดรถ 2 คัน) พร้อมห้องรับแขก ห้องนั่งเล่น ห้องพระ ห้องคนรับใช้ และห้องน้ำ (พื้นที่ใช้สอยกว่า 300 ตร.ม.) ออกแบบ-ก่อสร้างและคัดสรรวัสดุอุปกรณ์ที่ใช้อย่างมีคุณภาพ บนทำเลที่ดีที่สุด
2135;HAppy Living เราสร้างสรรค์ทุกสิ่งที่เป็นความสุขสำหรับทุกครอบครัว 
2136;ใช้ชีวิตแบบคุณได้เต็มที่กว่า!! กับพื้นที่ส่วนตัวมากกว่า
2137;รีสอร์ทคอนโดพร้อมอยู่ ตอบรับทุกชีวิตแบบ i บนทำเลศักยภาพ ใกล้ BTS แบริ่ง พร้อม iFacilities ครบครัน เก็บกระเป๋าแล้วมาใช้ชีวิตแบบ iLife iStyle ที่ไอคอนโด
2141;คอนโดดีดี แต่งครบ เฟอร์นิเจอร์ ครัว แอร์ พร้อมเครื่องใช้ไฟฟ้าครบชุด*
2143;ลักษณะโครงการ อาคารพักอาศัย สูง 35 ชั้น 1 อาคาร จำนวนยูนิต 853 ยูนิต ลักษณะห้องชุดขนาดพื้นที่ (ตร.ม.)1 ห้องนอน 1 ห้องน้ำ 29.00-45.50 1 ห้องนอน 2 ห้องน้ำ(ดูเพล็กซ์) 52.25-53.00 2 ห้องนอน 2 ห้องน้ำ(ดูเพล็กซ์) 68.25-73.00 2 ห้องนอน 2 ห้องน้ำ 61.75-62.25
2147;Rhythm พหลฯ-อารีย์ (Rhythm Phahol-Ari) คอนโดมิเนียมล้ำยุค บนถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร สร้างสรรค์ที่อยู่อาศัยด้วยฟังก์ชั่นและดีไซน์ที่ไม่เหมือนใคร เกิดความสุขที่จับต้องได้ พร้อมรับชีวิตของคนยุคใหม่ สงบ เป็นส่วนตัว ไม่พลุกพล่าน ท่ามกลางสวนสีเขียวของต้นไม้ใหญ่ ที่จะช่วยสร้างอากาศบริสุทธิ์ ให้ปอดของคุณได้ผ่อนคลาย จากสิ่งแวดล้อมภายนอกในเมืองกรุง Rhythm พหลฯ-อารีย์ โดดเด่นที่การดีไซน์ห้องครัวลอยฟ้า โดยการใช้หน้าต่างกระจกบานใหญ่ แทนผนังทึบ เพื่อให้คุณได้เพลินเพลินกับทุกมื้ออาหารพร้อมวิวเมืองกรุงที่สวยงาม ห้องครัวจะแยกพื้นที่จากห้องนั่งเล่นด้วยประตูกระจกบานเลื่อน ปรับพื้นที่ความต้องการใช้งานได้ตามใจชอบ และสามารถมองจากห้องนั่งเล่นสู่วิวภายนอกได้เช่นกัน เพิ่มความรู้สึกโปร่ง โล่งได้อีกมากขึ้น
2148;อาคารชุดพักศัย 1 อาคาร จำนวน 2 ทาวเวอร์, North Wing สูง 32 ชั้น, South Wing สูง 27 ชั้น ชั้น G เป็นสิ่งอำนวยความสะดวก และอาคารที่จอดรถ\n\nทาวเวอร์ NW\nชั้น 2\t  เป็นอาคารที่จอดรถ\nชั้น 3-5  เป็นชั้นที่จอดรถและที่พักอาศัย\nชั้น 6\t  เป็นชั้นที่พักอาศัยและสิ่งอำนวยความสะดวก\nชั้น 7-31  เป็นชั้นที่พักอาศัย\nชั้น 32 \t เป็นชั้นสิ่งอำนวยความสะดวก\n\nทาวเวอร์ SW\nชั้น 2 \t เป็นอาคารที่จอดรถ\nชั้น 3-5  \tเป็นชั้นที่จอดรถและที่พักอาศัย\nชั้น 6\t  เป็นชั้นที่พักอาศัยและสิ่งอำนวยความสะดวก\nชั้น 7-26 \t เป็นชั้นที่พักอาศัย\nชั้น 27\t  เป็นชั้นสิ่งอำนวยความสะดวก
2150;ทาวน์โฮม Modern Alternative Design ใหม่...เหนือกว่าในทุกรายละเอียด
2154;Tuscany Condominium บนทำเลมีระดับ และเป็นส่วนตัว..Experience The Luxury Tuscany Design โดดเด่น หรูหรา ทุกดีไซน์ ด้วยแรงบันดาลใจแห่ง TuscanyExperience The Tuscany Exclusivity ชีวิตเหนือระดับพร้อมสิ่งอำนวยความสะดวกอันครบครันExperience The Sense of Privacy ปลอดภัยเป็นส่วนตัว บนทำเลศักยภาพอันเงียบสงบ ที่น้อยคนนักจะได้ครอบครอง เพียง 163 ยูนิต พร้อม Single Corridor
2156;ย่อระยะเวลาในการเดินทาง ด้วยที่สุดของทำเลที่ตั้ง ห่างจากรถไฟฟ้าใต้ดิน สถานีรัชดา เพียง 1 เมตร เหนือไปกว่านั้นในเรื่องของงานดีไซน์ ที่นี่ยังแตกต่างในทุกรายละเอียด เพื่อมุ่งตอบสนองความรื่นรมย์ในการอยู่อาศัย ด้วยความงามเชิงศิลปะ ที่ผสมผสานและสอดคล้องกับรสนิยม และไลฟ์สไตล์ของคนเมืองWelcome To Luxury condo at Ratchadaคอนโดตกแต่งครบ ลงตัวอย่างมีสไตล์ ให้คุณพร้อมเข้าอยู่แล้ววันนี้
2159;พบความสมบูรณ์แบบของคอนโด ติด ถนนแจ้งวัฒนะ ให้ชีวิตสบาย ยิ่งกว่าเดิม ใกล้ทางด่วน และเซ็นทรัล พรั่งพร้อมความร่มรื่นของธรรมชาติ ด้วย Green Area ประมาณ 3,000 ตร.ม. ท่ามกลางความโปร่งสบายในพื้นที่ มากถึง 6 ไร่ เพียง 988 ยูนิต
2160;เดอะ วิลล่า ทาวน์โฮมดีไซน์ใหญ่ ให้การใช้ชีวิตแบบในเมือง เป็นเรื่องที่สวยงาม ด้วยแนวคิด Give You More Happiness กับความสุขสีเขียวที่ให้คุณได้มากกว่า
2161;เดอะ วิลล่า ทาวน์โฮมดีไซน์ใหญ่ ให้การใช้ชีวิตแบบในเมือง เป็นเรื่องที่สวยงาม ด้วยแนวคิด Give You More Happiness กับความสุขสีเขียวที่ให้คุณได้มากกว่า
2165;เพื่อตอบแนวคิดที่ต้องการให้ทุกวันเป็นวันพักผ่อน PARC EXO จึงเนรมิตพื้นที่สวนทั้งโครงการในสไตล์รีสอร์ท ครบครันด้วยสาธารณูปโภคเพื่อกิจกรรมสันทนาการ บนทำเลเกษตร-นวมินทร์ แวดล้อมด้วยตัวอาคารแบบโมเดิร์น ซึ่งทุกยูนิตถูกออกแบบให้มีมุมมองเปิดโล่งเพื่อรับอากาศบริสุทธิ์ ตกแต่งภายในสไตล์เอิร์ธโทนอย่างครบถ้วนและลงตัว สร้างความรู้สึกอบอุ่นและดูทันสมัยในเวลาเดียวกัน
2167;ชีวิตหวนคืนกลับไปสู่วิถีแห่งความเรียบง่าย วิถีแห่งไทย นำภูมิปัญญาทางวัฒนธรรม มาตีความใหม่ ปรับเปลี่ยนรูปแบบให้สอดคล้องกับโมเดิร์นไลฟ์สไตล์ มองลึกเข้าไปในทุก รายละเอียด ตั้งแต่แนวคิด ที่มีสายลมเป็น 'แกนของชีวิต' สะท้อนลักษณะพื้นที่เดิมที่เป็นพื้นที่การเกษตรอันอุดมสมบูรณ์ นำความอ่อนช้อยอันเป็นเอกลักษณ์ของศิลปะไทยมาคลี่คลายให้กลายเป็นดีไซน์ร่วมสมัย เพราะไม่ว่าภายนอกเราจะมีชีวิตทันสมัยอย่างไร แต่ความเป็นไทยนั้นยังคงอยู่ในจิตวิญญาณ 
2175;คอนโดมิเนียม 8 ชั้น 4 อาคาร
2176;
2177;เมื่อความต้องการของคุณอยู่เหนือขีดจำกัดใดๆ ที่นี่คืออาณาจักรแห่งความยิ่งใหญ่ส่วนตัว รายล้อมด้วยบรรยากาศสนามกอล์ฟเล่นระดับ Contour Landscape และความเลอค่าในสไตล์ Modern Spanish ที่บรรจงสร้างเพียง 43 หลังเท่านั้น
2178;รีสอร์ทคอนโดวิวทะเลสาบ พร้อมสวนเล่นระดับ บนถนนศรีนครินทร์ ส่วนผสมความสุขที่ลงตัว
2179;“Happiness” ความสุขแบบบ้านใจกลางเมืองมีจริง ใช้ชีวิตอย่างที่ฝันใจกลางเมือง ที่ Villa Asoke Condo จะสนุกกับชีวิตโสด หรือสุขสบายแบบครอบครัว ก็เกิดขึ้นได้ที่นี่ ด้วยการออกแบบที่พิถีพิถัน ขนาดห้องที่มีเนื้อที่เพียงพอสำหรับสมาชิกในครอบครัว โปร่ง สบายกว่า พร้อมสิ่งอำนวยความสะดวกสำหรับสมาชิกทุกคนในครอบครัวอย่างแท้จริง พิเศษกว่าด้วยพื้นที่ Kids Area, Golf Putting Green และ Mini Karaoke Theater
2185;Centro อ่อนนุช-วงแหวน บ้านเดี่ยวหลังใหม่ ที่ให้พื้นที่มากกว่า ประณีตคัดสรรวัสดุคุณภาพดีกว่า ในสังคมและทำเลศักยภาพเหนือกว่า 
2191;ด้วยแนวคิดการอยู่อาศัยแบบสปอร์ตไลฟ์สไตล์ แห่งแรกในประเทศไทย ที่ผสมผสานคอนโดมิเนียมและสปอร์ตคลับ สนามฟุตบอลหญ้าเทียมเข้าไว้ด้วยกัน บนทำเลศักยภาพ ที่เป็นศูนย์กลางการคมนาคมทุกชนิด รายล้อมไปด้วยห้างสรรพสินค้าและสถานที่ราชการ เพื่อความสะดวกสบายในการเดินทาง
2192;Pet-Friendly Condominium Projectคอนโดมิเนียมแห่งแรกในประเทศไทย ที่ใส่ใจคุณและเพื่อนสัตว์เลี้ยงตัวน้อย ด้วยการเปิดเฟสพิเศษที่สามารถเลี้ยงสัตว์ได้ พร้อมแหล่งรวมสินค้าสำหรับสัตว์เลี้ยงภายในโครงการ Ideal Locationด้วยทำเลที่เป็นใจกลาง รายล้อมไปด้วยสิ่งอำนวยความสะดวกและศูนย์กลางไลฟ์สไตล์ ให้คุณใช้ชีวิตทั้งในและนอกบ้านได้อย่างมีความสุขFacilitiesสิ่งอำนวยความสะดวกภายในโครงการ ถูกคัดสรรมาเพื่อตอบสนองการใช้ชีวิตของคุณและเพื่อนสัตว์เลี้ยงตัวน้อย
2193;ที่สุดแห่งปรากฏการณ์ของคอนโดมิเนียมใจกลางเมือง พหลโยธิน-วิภาวดี พร้อมออฟฟิศและคอมมูนิตี้มอลล์แห่งแรก คอนโดมิเนียมแห่งเดียวที่ได้สัมผัสธรรมชาติที่ใกล้สวนสาธารณะขนาดใหญ่ใจกลางกรุงเทพฯ นิวยอร์ก แอนด์ อาร์ตเดคโคสไตล์ รายล้อมด้วยสิ่งอำนวยความสะดวกสบายระดับพรีเมียม
2194;ชีวาทัย รามคำแหง คอนโดมิเนียม สูง 33 ชั้น ที่เพียบพร้อมกับสิ่งอำนวยความสะดวกครบครัน ทำเลติดถนนใหญ่ ใกล้รถไฟฟ้าส่วนต่อขยายสายสีส้มและแอร์พอร์ต ลิงก์ รามคำแหง รายล้อมไปด้วยห้างสรรพสินค้าชั้นนำ อาทิ เดอะมอลล์ บางกะปิ, เดอะมอลล์ รามคำแหง, บิ๊กซี รามคำแหง
2200;สัมผัสความสุขที่แตกต่าง โครงการใหม่ Sharp Modern Style
2204;ลิงค์ทางเดินสู่ MRT สถานีพระราม 9 เพียง 4 นาที และ Airport Link สถานีมักกะสัน เพียง 5 นาที ชีวิตใจกลางเมือง เชื่อมถึงทุกจุดหมายด้วยการเดิน…แบบสบายๆ
2205;ใกล้รถไฟฟ้า ตกแต่งสไตล์รีสอร์ท โดดเด่นด้วยศักยภาพของทำเลที่แวดล้อมด้วยการคมนาคมและแหล่งอำนวยความสะดวกมากมาย เดินถึง  BTS เพียง 8 นาที ใกล้สถานี BTS บางจากเพียง 150 เมตร สะดวกสบายจากการเดินทางบนทำเลสุขุมวิท
2207;คอนโดฯ หรู บนสุดยอดทำเลเพชรน้ำหนึ่งใจกลางกรุงเทพฯ Where work and life converge in harmony ที่ที่ชีวิตและงานผสานอย่างกลมกลืน 
2210;คอนโดมิเนียมสูง 8 ชั้น 1 อาคาร บนทำเลทองหล่อ-พระโขนง ใกล้รถไฟฟ้า BTS สายสีเขียว สถานีเอกมัย ทำเลใจกลางกรุงเทพฯ ในซอยสุขุมวิท 61 ที่สามารถให้อากาศที่บริสุทธิ์ กับความเป็นส่วนตัว เเต่เเวดล้อมไปด้วยสิ่งอำนวยความสะดวกมากมายเดินทางสะดวก
2213;คอนโดคุณภาพใจกลางเมืองพัทยา ให้คุณสุขได้มากถึง 360 องศาของการพักผ่อน... ในแบบ บีช สไตล์
2214;New Arrival of the Best Townhome Community
2216;โครงการคอนโดมิเนียมติดถนนเพชรเกษมและหาดหัวหิน ตั้งห่างจากตัวเมืองบริเวณตลาดโต้รุ่งประมาณ 6 กม. เน้นความเป็นส่วนตัวด้วยจำนวนยูนิตเพียง 179 ยูนิตสำหรับคนพิเศษที่มีโอกาสเท่านั้น ตัวห้องตกแต่งแบบ Fully Furnished สไตล์ Modern Beach Look คุณภาพระดับ Premium และ Custom Made สำหรับโครงการโดยเฉพาะเน้นการออกแบบที่โปร่ง โล่ง ด้วยระยะ Floor to Ceiling ถึง 3 เมตร เพื่อตอบโจทย์การมาพักผ่อนตากอากาศอย่างสมบูรณ์แบบ
2218;Modern Luxury Home Office พื้นที่ใช้สอย 380 ตร.ม.สูง 3.5 ชั้น
2219;มิติของการอยู่อาศัย คอนโดมิเนียมพร้อมอยู่ สไตล์โมเดิร์นรีสอร์ท ใกล้ BTS บางนา และรถไฟฟ้าสายบางนา-สุวรรณภูมิ พร้อมมีเงินเหลือถึง 200,000 บาทB Condo เน้นการออกแบบสไตล์รีสอร์ทและเป็นมิตรสิ่งแวดล้อม อาทิ สวนลอยฟ้า และสระว่ายน้ำ และระบบรักษาความปลอดภัย 24 ชม. การจัดฟังก์ชัน เน้นการปรับเปลี่ยนตามช่วงเวลาของชีวิตเพื่อตอบสนองสำหรับคนวัยหนุ่มสาวสไตล์ Cosmo Lifestyle ที่มีสไตล์เป็นของตัวเองกล้าคิดกล้าเปลี่ยนแปลงและฝันที่จะมีบ้านเป็นของตัวเอง เพื่อการทำงานและการใช้ชีวิต
2221;บ้านหรูสไตล์โมเดิร์น พร้องห้องอเนกประสงค์ทุกหลัง ทำให้คุณสามารถปรับเปลี่ยนได้ตาม ใกล้จุดขึ้นลงทางด่วน รามอินทรา-อาจณรงค์ (ด่านจตุโชติ)
2223;ทาวน์เฮ้าส์ชั้นเดียว หน้ากว้าง 6 เมตร พื้นที่ใช้สอยคุ้มค่าทุกตารางนิ้ว 2 ห้องนอน 1 ห้องน้ำ 1 ห้องรับแขก
2227;สัมผัส..บ้านเดี่ยว โมเดิร์นรีสอร์ท สไตล์ที่ลงตัวกับ Life Style ของคุณ  บ้านเดี่ยวสไตล์รีสอร์ท 50 ตร.ว. สามวา-มีนบุรี โครงสร้างที่แข็งแกร่งด้วยคอนกรีตเสริมเหล็กผนังก่อด้วยอิฐมอญทั้งหลัง 1 ห้องแม่บ้าน 2 จอดรถ 3 ห้องนอน 4 ห้องน้ำ
2230;บ้านเดี่ยววิวทะเลสาบ ทำเลศักยภาพ บนถนนกิ่งแก้ว ที่สามารถเข้าสู่แหล่งธุรกิจการค้าใจกลางเมืองได้อย่างรวดเร็วและหลากหลายช่องทาง ด้วยโครงข่ายถนนที่เชื่อมต่อกัน
2231;Mind Condo ที่เดียวที่ทุกจังหวะของชีวิตจะเป็นหนึ่งเดียวกับที่พักอาศัยอย่างลงตัวที่สุด ด้วยรูปแบบสถาปัตยกรรมการออกแบบภายใต้ Modern Tropical Concept พร้อมสิ่งอำนวยความสะดวกครบครัน สระว่ายน้ำชั้นดาดฟ้า สวนหย่อมลอยฟ้า ฟิตเนสยิม คุ้มค่าตอบทุก lifestyle ที่เป็นคุณ การเดินทางสะดวกสบายด้วย Airport Link สถานีรถไฟฟ้า สายสีเหลือง สายสีส้ม ผ่านใจกลางแหล่งช็อปปิ้งย่าน รามคำแหง บางกะปิ
2235;"อาคารพาณิชย์ ""ทำเลศักยภาพ คุ้มค่าทุกการลงทุน""อาคารพาณิชย์สไตล์โมเดิร์น สูง 3 ชั้น ที่สุดแห่งทำเล ใกล้ทางด่วน เพียง 1 นาที ถึงทางยกระดับศรีรัฐ ฟังก์ชั่นการออกแบบพิเศษให้รองรับพื้นที่ค้าขายได้ทุกตารางนิ้ว บนทำเลคุณภาพรองรับ 2,000 ครัวเรือน เพียง 8 ยูนิตเท่านั้น รายล้อมด้วยโครงการบ้านพฤกษา 4 โครงการใหญ่เชิญสัมผัสบรรยากาศโครงการใหม่ได้ในแล้ววันนี้ ที่สำนักงานโครงการ ติดต่อ เยื่ยมชมในโครงการบ้านพฤกษา 111 รังสิต-บางพูน 2"
2240;โครงการภายใต้ concept The Nature Life สโมสรขนาด 2 ชั้น สินค้าโครงการเป็นดีไซน์ใหม่ล่าสุด พร้อมฟังก์ชั่นที่ครบถ้วน สมบูรณ์แบบ บ้านแนวคิดใหม่ ที่สร้างประสบการณ์เพิ่มความสุขของทุกคนในครอบครัว ใหญ่กว่าที่เคย กว้างกว่าที่คิด คุ้มค่าทุกความสุข
2246;
2249;
2250;METROPOLITAN ME ทำเลในฝัน ตอบโจทย์ไลฟ์สไตล์ของคนเมืองเช่นคุณ
2254;คอนโดมิเนียม 8 ชั้น ใกล้สถานีรถไฟฟ้า BTS อารีย์ และสนามเป้า THE TEMPO phaholyothin ออกแบบอย่างลงตัวที่คำนึงความสวยงามความทันสมัย ในรูปแบบของสถาปัตยกรรมที่แตกต่างจากรูปแบบเดิม การออกแบบห้องพักได้คำนึงถึงประโยชน์ใช้สอย และความลงตัวที่ผนวกความสวยงามเป็นอย่างดี บนทำเลที่ตั้งบริเวณ ซอยพหลโยธิน 2 บริษัทเชื่อว่าความสะดวกสบายในการเดินทางภายใต้สถานที่พัก ที่ถูกออกแบบเป็นอย่างดี จะทำให้การใช้ขีวิตในเมืองเป็นเรื่องง่ายและมีคุณภาพที่ดีขึ้น
2256;"MQDC ไม่หยุดเพียงแค่การคิดและสร้างสรรค์ที่อยู่อาศัยแต่คิดและสร้างความสุขแห่งชีวิตที่ยั่งยืนวิสซ์ดอมจึงสร้าง 'Whizdom Society' ที่ซึ่งคนรู้คิดในการใช้ชีวิตจะได้รับโอกาสพัฒนาศักยภาพส่วนบุคคลตลอดจนร่วมแบ่งปันความรู้สึกดีๆ ให้แก่กัน จนก่อเกิดเป็นสังคมแนวคิดใหม่ที่เรียกว่า...""สังคมแห่งการแบ่งปันความรู้และสร้างแรงบันดาลใจ (Knowledge Sharing Society)"" อย่างเต็มรูปแบบเป็นแห่งแรก"
2259;จากความสำเร็จของ Tree Condo Sukhumvit 52 ที่ขายหมดแล้ว 100% และ ความต้องการของผู้บริโภคอย่างต่อเนื่อง โครงการที่ 4 ของบริษัท Big Tree Asset ภายใต้ชื่อ TreeCondo LUXE จึงเกิดขึ้นภายใต้แนวคิด Simply Elegant อีกระดับของความสุขที่ลงตัว ทุกตารางนิ้วของ TreeCondo LUXE Sukhumvit 52 ถูกออกแบบโดยคำนึงถึง ประโยชน์การใช้สอยเพื่อตอบสนองการใช้ พื้นที่ของ Urban lifestyle ด้วย Concept Flexible Space โดยยังคงความสวยงาม และความลงตัวของการอยู่อาศัยตาม แบบฉบับของ Tree Condo Homemade
2261;คอนโดตากอากาศหรูริมหาดวงศ์อมาตย์ พัทยาเหนือ คุณภาพระดับพรีเมียม ทุกยูนิตออกแบบให้มีพื้นที่ใช้สอยกว้างขวาง มีระเบียงขนาดใหญ่เปิดรับวิวแบบพาโนราม่าเหนือทะเลอ่าวไทย โปร่งโล่งสบายด้วยเพดานสูง 2.8 เมตร และ 6 เมตร สำหรับห้องชุดเล่นระดับแบบดูเพล็กซ์ ทำเลดีท่ามกลางบรรยากาศสงบ ร่มรื่น และเป็นส่วนตัวที่สุดในพัทยา ห่างชายหาดเพียง 50 เมตร ง่ายต่อการเดินทางจากกรุงเทพฯ เพียง 90 นาที
2262;คอนโดมีสไตล์การสร้างแบบ Modern Contemporary มีรูปแบบเป็นตัวแอล เพื่อเปิดมุมมองของทุกยูนิต ให้สามารถมองเห็นทัศนียภาพภายนอกได้เป็นอย่างดี อยู่ใกล้ถนนสุขุมวิทและรถไฟฟ้า BTS เพียง 200 เมตร
